Chart Recorder Data File Thu, Feb 27, 2020 12:14 PM
Time (s)	Position (m)  
12:00:37.922	0.211000
12:00:38.922	0.211000
12:00:39.922	0.211000
12:00:40.922	0.211000
12:00:41.922	0.211000
12:00:42.922	0.211000
12:00:43.922	0.211000
12:00:44.922	0.211000
12:00:45.922	0.211000
12:00:46.922	0.211000
12:00:47.922	0.211000
12:00:48.922	0.211000
12:00:49.922	0.210000
12:00:50.922	0.211000
12:00:51.921	0.211000
12:00:52.922	0.210000
12:00:53.922	0.211000
12:00:54.922	0.211000
12:00:55.922	0.211000
12:00:56.922	0.211000
12:00:57.922	0.211000
12:00:58.921	0.212000
12:00:59.922	0.211000
12:01:00.922	0.211000
12:01:01.922	0.211000
12:01:02.922	0.211000
12:01:03.922	0.211000
12:01:04.922	0.212000
12:01:05.921	0.211000
12:01:06.922	0.212000
12:01:07.922	0.212000
12:01:08.922	0.212000
12:01:09.922	0.212000
12:01:10.921	0.211000
12:01:11.922	0.212000
12:01:12.922	0.212000
12:01:13.922	0.212000
12:01:14.922	0.212000
12:01:15.922	0.212000
12:01:16.923	0.212000
12:01:17.921	0.212000
12:01:18.922	0.212000
12:01:19.922	0.212000
12:01:20.922	0.212000
12:01:21.922	0.212000
12:01:22.922	0.212000
12:01:23.922	0.212000
12:01:24.921	0.212000
12:01:25.922	0.212000
12:01:26.922	0.213000
12:01:27.922	0.213000
12:01:28.922	0.213000
12:01:29.922	0.213000
12:01:30.922	0.213000
12:01:31.921	0.213000
12:01:32.922	0.213000
12:01:33.922	0.213000
12:01:34.922	0.213000
12:01:35.922	0.213000
12:01:36.922	0.213000
12:01:37.922	0.213000
12:01:38.922	0.213000
12:01:39.922	0.214000
12:01:40.922	0.214000
12:01:41.922	0.214000
12:01:42.922	0.214000
12:01:43.921	0.214000
12:01:44.922	0.214000
12:01:45.922	0.214000
12:01:46.922	0.214000
12:01:47.922	0.214000
12:01:48.922	0.215000
12:01:49.922	0.215000
12:01:50.921	0.214000
12:01:51.922	0.215000
12:01:52.922	0.215000
12:01:53.922	0.215000
12:01:54.922	0.215000
12:01:55.922	0.215000
12:01:56.922	0.215000
12:01:57.921	0.215000
12:01:58.922	0.215000
12:01:59.922	0.215000
12:02:00.922	0.215000
12:02:01.922	0.216000
12:02:02.922	0.216000
12:02:03.922	0.216000
12:02:04.922	0.216000
12:02:05.922	0.216000
12:02:06.922	0.216000
12:02:07.922	0.216000
12:02:08.922	0.216000
12:02:09.922	0.216000
12:02:10.922	0.216000
12:02:11.922	0.217000
12:02:12.922	0.216000
12:02:13.922	0.217000
12:02:14.922	0.217000
12:02:15.922	0.217000
12:02:16.921	0.217000
12:02:17.922	0.217000
12:02:18.922	0.218000
12:02:19.922	0.218000
12:02:20.922	0.218000
12:02:21.922	0.217000
12:02:22.922	0.218000
12:02:23.921	0.218000
12:02:24.922	0.218000
12:02:25.922	0.218000
12:02:26.922	0.218000
12:02:27.922	0.218000
12:02:28.922	0.218000
12:02:29.922	0.219000
12:02:30.921	0.218000
12:02:31.922	0.219000
12:02:32.922	0.219000
12:02:33.922	0.219000
12:02:34.922	0.218000
12:02:35.922	0.219000
12:02:36.922	0.219000
12:02:37.922	0.219000
12:02:38.922	0.219000
12:02:39.922	0.219000
12:02:40.922	0.219000
12:02:41.922	0.219000
12:02:42.921	0.220000
12:02:43.922	0.220000
12:02:44.922	0.219000
12:02:45.922	0.220000
12:02:46.922	0.220000
12:02:47.922	0.220000
12:02:48.922	0.219000
12:02:49.921	0.220000
12:02:50.922	0.220000
12:02:51.922	0.220000
12:02:52.922	0.220000
12:02:53.922	0.220000
12:02:54.922	0.220000
12:02:55.922	0.220000
12:02:56.921	0.220000
12:02:57.922	0.220000
12:02:58.922	0.220000
12:02:59.922	0.220000
12:03:00.922	0.220000
12:03:01.922	0.220000
12:03:02.922	0.220000
12:03:03.921	0.221000
12:03:04.922	0.221000
12:03:05.922	0.221000
12:03:06.922	0.220000
12:03:07.922	0.220000
12:03:08.922	0.220000
12:03:09.922	0.220000
12:03:10.922	0.220000
12:03:11.922	0.221000
12:03:12.922	0.221000
12:03:13.922	0.221000
12:03:14.922	0.221000
12:03:15.921	0.221000
12:03:16.922	0.221000
12:03:17.922	0.221000
12:03:18.922	0.221000
12:03:19.922	0.221000
12:03:20.922	0.221000
12:03:21.922	0.221000
12:03:22.921	0.221000
12:03:23.922	0.221000
12:03:24.922	0.221000
12:03:25.922	0.221000
12:03:26.922	0.221000
12:03:27.922	0.221000
12:03:28.922	0.221000
12:03:29.921	0.221000
12:03:30.922	0.221000
12:03:31.922	0.221000
12:03:32.922	0.221000
12:03:33.922	0.221000
12:03:34.922	0.220000
12:03:35.922	0.220000
12:03:36.922	0.220000
12:03:37.922	0.220000
12:03:38.922	0.220000
12:03:39.922	0.220000
12:03:40.922	0.221000
12:03:41.921	0.220000
12:03:42.922	0.220000
12:03:43.922	0.220000
12:03:44.922	0.220000
12:03:45.922	0.220000
12:03:46.922	0.220000
12:03:47.922	0.220000
12:03:48.921	0.220000
12:03:49.922	0.220000
12:03:50.922	0.220000
12:03:51.922	0.220000
12:03:52.922	0.220000
12:03:53.923	0.220000
12:03:54.922	0.220000
12:03:55.921	0.220000
12:03:56.922	0.220000
12:03:57.922	0.220000
12:03:58.922	0.220000
12:03:59.922	0.220000
12:04:00.922	0.220000
12:04:01.922	0.220000
12:04:02.921	0.220000
12:04:03.922	0.219000
12:04:04.922	0.219000
12:04:05.922	0.219000
12:04:06.922	0.219000
12:04:07.922	0.219000
12:04:08.922	0.219000
12:04:09.922	0.219000
12:04:10.922	0.219000
12:04:11.922	0.219000
12:04:12.922	0.219000
12:04:13.922	0.219000
12:04:14.921	0.219000
12:04:15.922	0.219000
12:04:16.922	0.219000
12:04:17.922	0.219000
12:04:18.922	0.218000
12:04:19.922	0.218000
12:04:20.922	0.218000
12:04:21.921	0.218000
12:04:22.922	0.218000
12:04:23.922	0.218000
12:04:24.923	0.218000
12:04:25.922	0.218000
12:04:26.922	0.218000
12:04:27.922	0.218000
12:04:28.921	0.218000
12:04:29.922	0.218000
12:04:30.922	0.218000
12:04:31.922	0.218000
12:04:32.922	0.217000
12:04:33.922	0.218000
12:04:34.922	0.217000
12:04:35.922	0.217000
12:04:36.922	0.217000
12:04:37.922	0.217000
12:04:38.922	0.217000
12:04:39.922	0.217000
12:04:40.921	0.217000
12:04:41.922	0.217000
12:04:42.922	0.217000
12:04:43.922	0.216000
12:04:44.922	0.217000
12:04:45.922	0.216000
12:04:46.922	0.216000
12:04:47.921	0.216000
12:04:48.922	0.216000
12:04:49.922	0.216000
12:04:50.922	0.216000
12:04:51.922	0.216000
12:04:52.922	0.216000
12:04:53.922	0.216000
12:04:54.921	0.216000
12:04:55.922	0.216000
12:04:56.922	0.216000
12:04:57.922	0.215000
12:04:58.922	0.215000
12:04:59.922	0.215000
12:05:00.922	0.215000
12:05:01.922	0.215000
12:05:02.922	0.215000
12:05:03.922	0.215000
12:05:04.922	0.215000
12:05:05.922	0.215000
12:05:06.922	0.215000
12:05:07.922	0.215000
12:05:08.922	0.214000
12:05:09.922	0.214000
12:05:10.922	0.214000
12:05:11.922	0.214000
12:05:12.922	0.215000
12:05:13.921	0.215000
12:05:14.922	0.215000
12:05:15.922	0.215000
12:05:16.922	0.215000
12:05:17.922	0.214000
12:05:18.922	0.214000
12:05:19.922	0.214000
12:05:20.921	0.214000
12:05:21.922	0.214000
12:05:22.922	0.214000
12:05:23.922	0.214000
12:05:24.922	0.214000
12:05:25.922	0.214000
12:05:26.922	0.214000
12:05:27.921	0.214000
12:05:28.922	0.214000
12:05:29.922	0.213000
12:05:30.922	0.213000
12:05:31.922	0.213000
12:05:32.922	0.214000
12:05:33.922	0.213000
12:05:34.922	0.213000
12:05:35.922	0.214000
12:05:36.922	0.213000
12:05:37.922	0.213000
12:05:38.922	0.213000
12:05:39.921	0.214000
12:05:40.922	0.213000
12:05:41.922	0.213000
12:05:42.922	0.213000
12:05:43.922	0.213000
12:05:44.922	0.213000
12:05:45.922	0.213000
12:05:46.921	0.213000
12:05:47.922	0.213000
12:05:48.922	0.213000
12:05:49.922	0.213000
12:05:50.922	0.213000
12:05:51.922	0.213000
12:05:52.922	0.213000
12:05:53.921	0.213000
12:05:54.922	0.213000
12:05:55.922	0.213000
12:05:56.922	0.213000
